date,store_id,product_id,product_name,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality
2024-01-03,1,P007,Parle-G 800g,Snacks,South,165,51,52,51,65,15,Rainy,0,59.67,Low
2024-01-03,1,P008,Surf Excel 1kg,Cleaning,South,173,50,55,47,220,5,Stormy,0,207.69,Low
2024-01-03,1,P009,Amul Butter 500g,Dairy,South,196,37,56,38,275,5,Sunny,0,269.37,Low
2024-01-03,1,P010,Red Label Tea 500g,Beverages,South,153,65,65,68,255,0,Cloudy,0,257.11,Low
2024-01-04,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,56,53,68,57,58,0,Stormy,1,55.23,Low
2024-01-04,1,P002,Britannia Good Day 600g,Snacks,South,189,25,29,24,120,0,Rainy,0,114.69,Low
2024-01-04,1,P003,Aashirvaad Atta 5kg,Staples,South,257,43,45,41,248,15,Stormy,0,255.04,Low
2024-01-04,1,P004,Maggi 2-Minute Noodles,Snacks,South,249,36,39,36,48,5,Cloudy,0,46.77,Low
2024-01-04,1,P005,Tata Salt 1kg,Staples,South,202,36,53,32,22,0,Cloudy,0,22.67,Low
2024-01-04,1,P006,Coca-Cola 600ml,Beverages,South,210,53,56,48,40,15,Sunny,1,41.97,Low
2024-01-04,1,P007,Parle-G 800g,Snacks,South,244,23,39,18,65,5,Rainy,0,66.77,Low
2024-01-04,1,P008,Surf Excel 1kg,Cleaning,South,207,44,49,44,220,10,Rainy,0,237.87,Low
2024-01-04,1,P009,Amul Butter 500g,Dairy,South,70,37,37,32,275,10,Stormy,0,274.96,Low
2024-01-04,1,P010,Red Label Tea 500g,Beverages,South,241,15,31,10,255,5,Stormy,0,278.15,Low
2024-01-05,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,148,67,75,66,58,10,Sunny,0,63.41,Low
2024-01-05,1,P002,Britannia Good Day 600g,Snacks,South,165,44,44,41,120,0,Sunny,0,130.47,Low
2024-01-05,1,P003,Aashirvaad Atta 5kg,Staples,South,153,69,82,71,248,0,Stormy,0,272.31,Low
2024-01-05,1,P004,Maggi 2-Minute Noodles,Snacks,South,179,20,36,22,48,0,Sunny,0,50.01,Low
2024-01-05,1,P005,Tata Salt 1kg,Staples,South,296,57,59,53,22,0,Stormy,0,20.16,Low
2024-01-05,1,P006,Coca-Cola 600ml,Beverages,South,222,19,38,14,40,15,Stormy,0,43.12,Low
2024-01-05,1,P007,Parle-G 800g,Snacks,South,141,46,47,42,65,20,Rainy,0,62.77,Low
2024-01-05,1,P008,Surf Excel 1kg,Cleaning,South,229,83,92,83,220,20,Cloudy,0,203.59,Low
2024-01-05,1,P009,Amul Butter 500g,Dairy,South,102,49,60,48,275,20,Stormy,0,250.34,Low
2024-01-05,1,P010,Red Label Tea 500g,Beverages,South,148,75,82,73,255,10,Cloudy,1,265.94,Low
2024-01-06,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,169,55,73,59,58,20,Cloudy,0,54.34,Low
2024-01-06,1,P002,Britannia Good Day 600g,Snacks,South,189,52,52,56,120,0,Sunny,0,114.01,Low
2024-01-06,1,P003,Aashirvaad Atta 5kg,Staples,South,138,99,106,98,248,0,Stormy,0,259.8,Low
2024-01-06,1,P004,Maggi 2-Minute Noodles,Snacks,South,125,23,38,20,48,10,Cloudy,0,46.48,Low
2024-01-06,1,P005,Tata Salt 1kg,Staples,South,96,55,71,53,22,10,Stormy,1,20.23,Low
2024-01-06,1,P006,Coca-Cola 600ml,Beverages,South,149,83,83,82,40,20,Cloudy,0,43.59,Low
2024-01-06,1,P007,Parle-G 800g,Snacks,South,229,62,71,66,65,0,Cloudy,1,69.63,Low
2024-01-06,1,P008,Surf Excel 1kg,Cleaning,South,53,33,48,35,220,20,Cloudy,0,236.16,Low
2024-01-06,1,P009,Amul Butter 500g,Dairy,South,201,75,86,71,275,0,Stormy,0,272.7,Low
2024-01-06,1,P010,Red Label Tea 500g,Beverages,South,150,91,102,88,255,0,Sunny,1,275.67,Low
2024-01-07,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,61,83,96,79,58,10,Rainy,0,60.12,Low
2024-01-07,1,P002,Britannia Good Day 600g,Snacks,South,142,43,52,47,120,15,Cloudy,0,114.76,Low
2024-01-07,1,P003,Aashirvaad Atta 5kg,Staples,South,286,36,46,38,248,5,Sunny,0,271.19,Low
2024-01-07,1,P004,Maggi 2-Minute Noodles,Snacks,South,150,70,78,72,48,0,Sunny,0,47.16,Low
2024-01-07,1,P005,Tata Salt 1kg,Staples,South,280,54,58,49,22,20,Sunny,0,23.12,Low
2024-01-07,1,P006,Coca-Cola 600ml,Beverages,South,162,84,103,87,40,15,Sunny,0,36.8,Low
2024-01-07,1,P007,Parle-G 800g,Snacks,South,238,72,80,69,65,5,Sunny,0,70.94,Low
2024-01-07,1,P008,Surf Excel 1kg,Cleaning,South,132,74,88,73,220,10,Rainy,1,212.46,Low
2024-01-07,1,P009,Amul Butter 500g,Dairy,South,102,94,109,97,275,20,Sunny,0,274.69,Low
2024-01-07,1,P010,Red Label Tea 500g,Beverages,South,272,78,82,75,255,20,Sunny,0,265.5,Low
2024-01-08,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,58,67,76,71,58,5,Sunny,0,61.93,Low
2024-01-08,1,P002,Britannia Good Day 600g,Snacks,South,217,67,76,70,120,0,Rainy,0,111.52,Low
2024-01-08,1,P003,Aashirvaad Atta 5kg,Staples,South,215,42,60,44,248,10,Sunny,0,263.51,Low
2024-01-08,1,P004,Maggi 2-Minute Noodles,Snacks,South,181,28,31,28,48,5,Rainy,0,50.66,Low
2024-01-08,1,P005,Tata Salt 1kg,Staples,South,140,69,78,73,22,0,Rainy,0,21.97,Low
2024-01-08,1,P006,Coca-Cola 600ml,Beverages,South,269,39,58,41,40,10,Rainy,0,41.95,Low
2024-01-08,1,P007,Parle-G 800g,Snacks,South,141,24,40,27,65,0,Cloudy,0,71.02,Low
2024-01-08,1,P008,Surf Excel 1kg,Cleaning,South,209,65,77,64,220,15,Sunny,0,238.44,Low
2024-01-08,1,P009,Amul Butter 500g,Dairy,South,196,47,66,50,275,0,Rainy,0,259.42,Low
2024-01-08,1,P010,Red Label Tea 500g,Beverages,South,166,24,26,25,255,0,Rainy,1,278.39,Low
2024-01-09,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,151,32,43,34,58,5,Sunny,1,54.17,Low
2024-01-09,1,P002,Britannia Good Day 600g,Snacks,South,235,52,69,51,120,0,Stormy,1,118.88,Low
2024-01-09,1,P003,Aashirvaad Atta 5kg,Staples,South,210,34,53,31,248,10,Cloudy,0,243.87,Low
2024-01-09,1,P004,Maggi 2-Minute Noodles,Snacks,South,202,28,29,32,48,15,Cloudy,0,43.63,Low
2024-01-09,1,P005,Tata Salt 1kg,Staples,South,167,64,64,60,22,20,Sunny,0,22.41,Low
2024-01-09,1,P006,Coca-Cola 600ml,Beverages,South,254,50,50,46,40,0,Rainy,0,38.19,Low
2024-01-09,1,P007,Parle-G 800g,Snacks,South,269,62,78,61,65,20,Sunny,0,70.37,Low
2024-01-09,1,P008,Surf Excel 1kg,Cleaning,South,102,36,40,40,220,0,Rainy,0,208.61,Low
2024-01-09,1,P009,Amul Butter 500g,Dairy,South,50,31,49,29,275,15,Sunny,0,289.13,Low
2024-01-09,1,P010,Red Label Tea 500g,Beverages,South,88,50,51,50,255,15,Rainy,0,245.2,Low
2024-01-10,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,182,21,37,22,58,20,Sunny,0,59.62,Low
2024-01-10,1,P002,Britannia Good Day 600g,Snacks,South,152,38,43,34,120,15,Cloudy,0,123.28,Low
2024-01-10,1,P003,Aashirvaad Atta 5kg,Staples,South,240,42,43,40,248,0,Cloudy,0,262.07,Low
2024-01-10,1,P004,Maggi 2-Minute Noodles,Snacks,South,100,78,94,77,48,10,Stormy,0,52.1,Low
2024-01-10,1,P005,Tata Salt 1kg,Staples,South,133,35,39,31,22,15,Sunny,0,21.25,Low
2024-01-10,1,P006,Coca-Cola 600ml,Beverages,South,289,62,72,59,40,20,Sunny,0,37.02,Low
2024-01-10,1,P007,Parle-G 800g,Snacks,South,167,50,65,52,65,5,Stormy,1,62.99,Low
2024-01-10,1,P008,Surf Excel 1kg,Cleaning,South,204,14,31,18,220,0,Rainy,0,205.43,Low
2024-01-10,1,P009,Amul Butter 500g,Dairy,South,110,46,51,41,275,10,Sunny,1,258.85,Low
2024-01-10,1,P010,Red Label Tea 500g,Beverages,South,127,59,71,62,255,0,Sunny,0,261.52,Low
2024-01-11,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,112,66,81,61,58,0,Stormy,0,53.18,Low
2024-01-11,1,P002,Britannia Good Day 600g,Snacks,South,256,63,77,65,120,15,Cloudy,0,126.24,Low
2024-01-11,1,P003,Aashirvaad Atta 5kg,Staples,South,158,24,37,26,248,0,Rainy,0,267.6,Low
2024-01-11,1,P004,Maggi 2-Minute Noodles,Snacks,South,288,65,77,61,48,0,Cloudy,0,47.01,Low
2024-01-11,1,P005,Tata Salt 1kg,Staples,South,77,38,47,39,22,0,Sunny,0,20.19,Low
2024-01-11,1,P006,Coca-Cola 600ml,Beverages,South,62,69,88,72,40,5,Cloudy,0,41.19,Low
2024-01-11,1,P007,Parle-G 800g,Snacks,South,277,41,55,41,65,0,Rainy,1,66.12,Low
2024-01-11,1,P008,Surf Excel 1kg,Cleaning,South,91,71,79,70,220,15,Stormy,0,224.73,Low
2024-01-11,1,P009,Amul Butter 500g,Dairy,South,247,80,84,83,275,0,Sunny,0,259.89,Low
2024-01-11,1,P010,Red Label Tea 500g,Beverages,South,53,30,40,32,255,20,Sunny,0,232.13,Low
2024-01-12,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,278,47,50,49,58,20,Cloudy,0,58.88,Low
2024-01-12,1,P002,Britannia Good Day 600g,Snacks,South,128,23,28,23,120,0,Cloudy,1,125.35,Low
2024-01-12,1,P003,Aashirvaad Atta 5kg,Staples,South,128,67,77,69,248,0,Rainy,0,261.37,Low
2024-01-12,1,P004,Maggi 2-Minute Noodles,Snacks,South,68,18,37,13,48,5,Sunny,1,44.3,Low
2024-01-12,1,P005,Tata Salt 1kg,Staples,South,113,48,53,47,22,15,Rainy,0,21.92,Low
2024-01-12,1,P006,Coca-Cola 600ml,Beverages,South,210,54,59,50,40,0,Sunny,0,40.39,Low
2024-01-12,1,P007,Parle-G 800g,Snacks,South,217,23,24,21,65,0,Rainy,0,58.54,Low
2024-01-12,1,P008,Surf Excel 1kg,Cleaning,South,192,28,33,29,220,0,Cloudy,0,238.9,Low
2024-01-12,1,P009,Amul Butter 500g,Dairy,South,227,80,93,79,275,0,Sunny,0,257.47,Low
2024-01-12,1,P010,Red Label Tea 500g,Beverages,South,89,44,51,47,255,10,Cloudy,1,237.85,Low
2024-01-13,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,54,46,64,50,58,15,Stormy,0,62.38,Low
2024-01-13,1,P002,Britannia Good Day 600g,Snacks,South,89,64,71,65,120,15,Stormy,0,122.98,Low
2024-01-13,1,P003,Aashirvaad Atta 5kg,Staples,South,274,71,87,66,248,20,Rainy,0,250.16,Low
2024-01-13,1,P004,Maggi 2-Minute Noodles,Snacks,South,228,73,79,70,48,15,Cloudy,0,49.23,Low
2024-01-13,1,P005,Tata Salt 1kg,Staples,South,241,34,53,29,22,5,Cloudy,0,22.32,Low
2024-01-13,1,P006,Coca-Cola 600ml,Beverages,South,234,57,57,56,40,0,Rainy,0,36.27,Low
2024-01-13,1,P007,Parle-G 800g,Snacks,South,59,44,48,48,65,0,Cloudy,0,65.47,Low
2024-01-13,1,P008,Surf Excel 1kg,Cleaning,South,158,78,97,80,220,20,Sunny,1,204.6,Low
2024-01-13,1,P009,Amul Butter 500g,Dairy,South,125,78,90,74,275,0,Rainy,0,285.67,Low
2024-01-13,1,P010,Red Label Tea 500g,Beverages,South,76,71,75,69,255,0,Cloudy,0,246.97,Low
2024-01-14,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,72,29,43,33,58,15,Rainy,1,62.78,Low
2024-01-14,1,P002,Britannia Good Day 600g,Snacks,South,266,83,83,85,120,5,Rainy,1,110.45,Low
2024-01-14,1,P003,Aashirvaad Atta 5kg,Staples,South,182,80,84,82,248,20,Cloudy,0,251.78,Low
2024-01-14,1,P004,Maggi 2-Minute Noodles,Snacks,South,295,98,116,100,48,0,Cloudy,0,47.53,Low
2024-01-14,1,P005,Tata Salt 1kg,Staples,South,198,78,91,76,22,15,Rainy,0,21.26,Low
2024-01-14,1,P006,Coca-Cola 600ml,Beverages,South,217,102,116,101,40,20,Sunny,0,38.68,Low
2024-01-14,1,P007,Parle-G 800g,Snacks,South,84,90,109,93,65,0,Rainy,0,63.0,Low
2024-01-14,1,P008,Surf Excel 1kg,Cleaning,South,140,39,55,36,220,15,Stormy,0,219.93,Low
2024-01-14,1,P009,Amul Butter 500g,Dairy,South,226,22,32,22,275,0,Stormy,0,283.99,Low
2024-01-14,1,P010,Red Label Tea 500g,Beverages,South,133,39,47,34,255,5,Cloudy,0,233.85,Low
2024-01-15,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,120,65,65,66,58,0,Rainy,1,62.62,Low
2024-01-15,1,P002,Britannia Good Day 600g,Snacks,South,222,57,72,59,120,0,Cloudy,0,126.61,Low
2024-01-15,1,P003,Aashirvaad Atta 5kg,Staples,South,243,73,89,69,248,15,Cloudy,0,230.9,Low
2024-01-15,1,P004,Maggi 2-Minute Noodles,Snacks,South,206,17,23,14,48,0,Cloudy,0,49.38,Low
2024-01-15,1,P005,Tata Salt 1kg,Staples,South,136,69,86,70,22,10,Stormy,0,22.23,Low
2024-01-15,1,P006,Coca-Cola 600ml,Beverages,South,103,19,33,18,40,0,Rainy,0,40.45,Low
2024-01-15,1,P007,Parle-G 800g,Snacks,South,84,18,31,20,65,15,Rainy,1,63.66,Low
2024-01-15,1,P008,Surf Excel 1kg,Cleaning,South,272,59,74,55,220,20,Cloudy,0,230.38,Low
2024-01-15,1,P009,Amul Butter 500g,Dairy,South,161,48,66,46,275,10,Stormy,0,296.6,Low
2024-01-15,1,P010,Red Label Tea 500g,Beverages,South,197,60,70,64,255,20,Cloudy,0,259.61,Low
2024-01-16,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,54,40,44,40,58,15,Sunny,0,62.19,Low
2024-01-16,1,P002,Britannia Good Day 600g,Snacks,South,299,63,74,65,120,0,Cloudy,0,119.7,Low
2024-01-16,1,P003,Aashirvaad Atta 5kg,Staples,South,163,71,89,66,248,15,Sunny,1,257.86,Low
2024-01-16,1,P004,Maggi 2-Minute Noodles,Snacks,South,250,40,50,38,48,0,Cloudy,0,44.85,Low
2024-01-16,1,P005,Tata Salt 1kg,Staples,South,124,36,41,32,22,10,Cloudy,1,21.99,Low
2024-01-16,1,P006,Coca-Cola 600ml,Beverages,South,214,59,64,63,40,5,Rainy,0,36.09,Low
2024-01-16,1,P007,Parle-G 800g,Snacks,South,268,35,42,31,65,5,Sunny,0,64.93,Low
2024-01-16,1,P008,Surf Excel 1kg,Cleaning,South,194,31,44,27,220,5,Cloudy,0,206.11,Low
2024-01-16,1,P009,Amul Butter 500g,Dairy,South,164,65,75,67,275,0,Stormy,1,287.05,Low
2024-01-16,1,P010,Red Label Tea 500g,Beverages,South,276,55,56,56,255,20,Stormy,0,236.39,Low
2024-01-17,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,299,65,68,63,58,0,Rainy,1,52.8,Low
2024-01-17,1,P002,Britannia Good Day 600g,Snacks,South,284,80,81,83,120,0,Cloudy,0,116.27,Low
2024-01-17,1,P003,Aashirvaad Atta 5kg,Staples,South,178,65,75,67,248,0,Sunny,0,226.97,Low
2024-01-17,1,P004,Maggi 2-Minute Noodles,Snacks,South,157,63,74,60,48,15,Cloudy,0,44.19,Low
2024-01-17,1,P005,Tata Salt 1kg,Staples,South,236,57,73,52,22,0,Sunny,0,22.09,Low
2024-01-17,1,P006,Coca-Cola 600ml,Beverages,South,265,36,54,38,40,20,Sunny,0,41.27,Low
2024-01-17,1,P007,Parle-G 800g,Snacks,South,247,78,85,81,65,0,Sunny,1,61.38,Low
2024-01-17,1,P008,Surf Excel 1kg,Cleaning,South,158,43,57,47,220,20,Sunny,0,222.46,Low
2024-01-17,1,P009,Amul Butter 500g,Dairy,South,63,37,51,36,275,20,Sunny,0,298.34,Low
2024-01-17,1,P010,Red Label Tea 500g,Beverages,South,272,76,95,77,255,0,Cloudy,0,271.77,Low
2024-01-18,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,208,39,41,35,58,0,Sunny,0,56.14,Low
2024-01-18,1,P002,Britannia Good Day 600g,Snacks,South,88,75,89,77,120,0,Stormy,0,123.88,Low
2024-01-18,1,P003,Aashirvaad Atta 5kg,Staples,South,210,39,54,43,248,5,Cloudy,0,224.41,Low
2024-01-18,1,P004,Maggi 2-Minute Noodles,Snacks,South,207,52,64,48,48,0,Rainy,0,43.29,Low
2024-01-18,1,P005,Tata Salt 1kg,Staples,South,270,54,65,57,22,5,Rainy,0,23.18,Low
2024-01-18,1,P006,Coca-Cola 600ml,Beverages,South,133,40,44,35,40,15,Sunny,0,39.74,Low
2024-01-18,1,P007,Parle-G 800g,Snacks,South,117,82,99,81,65,0,Stormy,0,70.33,Low
2024-01-18,1,P008,Surf Excel 1kg,Cleaning,South,192,32,48,35,220,5,Stormy,0,239.8,Low
2024-01-18,1,P009,Amul Butter 500g,Dairy,South,173,56,61,57,275,20,Cloudy,1,273.21,Low
2024-01-18,1,P010,Red Label Tea 500g,Beverages,South,202,23,29,21,255,5,Rainy,1,277.58,Low
2024-01-19,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,286,81,94,85,58,0,Cloudy,0,54.76,Low
2024-01-19,1,P002,Britannia Good Day 600g,Snacks,South,169,60,65,59,120,10,Cloudy,0,113.19,Low
2024-01-19,1,P003,Aashirvaad Atta 5kg,Staples,South,69,20,36,24,248,0,Cloudy,0,257.72,Low
2024-01-19,1,P004,Maggi 2-Minute Noodles,Snacks,South,209,35,37,35,48,10,Stormy,0,48.35,Low
2024-01-19,1,P005,Tata Salt 1kg,Staples,South,191,21,25,17,22,0,Sunny,1,20.97,Low
2024-01-19,1,P006,Coca-Cola 600ml,Beverages,South,244,45,46,49,40,0,Rainy,1,43.45,Low
2024-01-19,1,P007,Parle-G 800g,Snacks,South,265,21,35,21,65,0,Sunny,1,64.95,Low
2024-01-19,1,P008,Surf Excel 1kg,Cleaning,South,109,19,34,18,220,10,Sunny,0,219.79,Low
2024-01-19,1,P009,Amul Butter 500g,Dairy,South,235,59,61,61,275,0,Stormy,0,295.05,Low
2024-01-19,1,P010,Red Label Tea 500g,Beverages,South,265,47,65,49,255,5,Sunny,0,273.73,Low
2024-01-20,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,156,80,92,83,58,10,Cloudy,1,59.38,Low
2024-01-20,1,P002,Britannia Good Day 600g,Snacks,South,182,70,80,74,120,0,Rainy,0,127.82,Low
2024-01-20,1,P003,Aashirvaad Atta 5kg,Staples,South,230,37,43,33,248,5,Cloudy,0,260.73,Low
2024-01-20,1,P004,Maggi 2-Minute Noodles,Snacks,South,243,36,48,31,48,0,Sunny,1,45.69,Low
2024-01-20,1,P005,Tata Salt 1kg,Staples,South,212,104,119,104,22,0,Cloudy,0,22.18,Low
2024-01-20,1,P006,Coca-Cola 600ml,Beverages,South,112,57,71,56,40,10,Cloudy,1,37.39,Low
2024-01-20,1,P007,Parle-G 800g,Snacks,South,117,78,94,78,65,0,Cloudy,0,63.0,Low
2024-01-20,1,P008,Surf Excel 1kg,Cleaning,South,99,65,78,63,220,0,Rainy,1,231.36,Low
2024-01-20,1,P009,Amul Butter 500g,Dairy,South,82,33,38,30,275,0,Cloudy,0,272.02,Low
2024-01-20,1,P010,Red Label Tea 500g,Beverages,South,78,75,78,70,255,0,Sunny,0,237.84,Low
2024-01-21,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,165,96,97,94,58,15,Rainy,0,62.27,Low
2024-01-21,1,P002,Britannia Good Day 600g,Snacks,South,257,85,89,83,120,15,Rainy,0,118.62,Low
2024-01-21,1,P003,Aashirvaad Atta 5kg,Staples,South,107,91,96,87,248,10,Rainy,1,266.26,Low
2024-01-21,1,P004,Maggi 2-Minute Noodles,Snacks,South,67,56,70,58,48,5,Cloudy,0,51.54,Low
2024-01-21,1,P005,Tata Salt 1kg,Staples,South,128,90,103,86,22,5,Rainy,0,23.31,Low
2024-01-21,1,P006,Coca-Cola 600ml,Beverages,South,197,73,86,76,40,15,Cloudy,0,37.0,Low
2024-01-21,1,P007,Parle-G 800g,Snacks,South,277,90,98,90,65,0,Stormy,0,66.97,Low
2024-01-21,1,P008,Surf Excel 1kg,Cleaning,South,137,84,91,79,220,10,Cloudy,0,215.27,Low
2024-01-21,1,P009,Amul Butter 500g,Dairy,South,144,88,93,91,275,0,Stormy,0,297.43,Low
2024-01-21,1,P010,Red Label Tea 500g,Beverages,South,137,47,55,42,255,5,Sunny,0,236.77,Low
2024-01-22,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,210,44,53,46,58,0,Stormy,0,58.21,Low
2024-01-22,1,P002,Britannia Good Day 600g,Snacks,South,254,50,50,48,120,0,Cloudy,0,111.19,Low
2024-01-22,1,P003,Aashirvaad Atta 5kg,Staples,South,171,61,78,57,248,0,Rainy,1,228.39,Low
2024-01-22,1,P004,Maggi 2-Minute Noodles,Snacks,South,172,22,27,25,48,15,Sunny,0,49.08,Low
2024-01-22,1,P005,Tata Salt 1kg,Staples,South,253,67,74,69,22,0,Stormy,0,23.25,Low
2024-01-22,1,P006,Coca-Cola 600ml,Beverages,South,252,62,81,60,40,15,Cloudy,0,39.62,Low
2024-01-22,1,P007,Parle-G 800g,Snacks,South,237,20,29,16,65,15,Stormy,0,66.95,Low
2024-01-22,1,P008,Surf Excel 1kg,Cleaning,South,292,46,64,47,220,15,Stormy,0,206.01,Low
2024-01-22,1,P009,Amul Butter 500g,Dairy,South,93,82,99,82,275,0,Rainy,0,265.78,Low
2024-01-22,1,P010,Red Label Tea 500g,Beverages,South,108,73,75,77,255,0,Rainy,0,233.18,Low
2024-01-23,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,184,24,35,19,58,15,Sunny,0,57.02,Low
2024-01-23,1,P002,Britannia Good Day 600g,Snacks,South,86,52,55,50,120,5,Stormy,0,128.81,Low
2024-01-23,1,P003,Aashirvaad Atta 5kg,Staples,South,213,49,50,47,248,0,Rainy,0,262.53,Low
2024-01-23,1,P004,Maggi 2-Minute Noodles,Snacks,South,292,57,75,61,48,15,Sunny,1,46.88,Low
2024-01-23,1,P005,Tata Salt 1kg,Staples,South,70,34,48,29,22,0,Cloudy,1,21.58,Low
2024-01-23,1,P006,Coca-Cola 600ml,Beverages,South,221,48,61,44,40,20,Sunny,0,36.55,Low
2024-01-23,1,P007,Parle-G 800g,Snacks,South,63,64,70,67,65,5,Cloudy,0,60.63,Low
2024-01-23,1,P008,Surf Excel 1kg,Cleaning,South,212,69,73,68,220,20,Sunny,1,224.34,Low
2024-01-23,1,P009,Amul Butter 500g,Dairy,South,200,57,71,61,275,0,Cloudy,0,265.7,Low
2024-01-23,1,P010,Red Label Tea 500g,Beverages,South,125,47,55,42,255,10,Stormy,1,260.97,Low
2024-01-24,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,77,29,39,28,58,20,Sunny,1,57.71,Low
2024-01-24,1,P002,Britannia Good Day 600g,Snacks,South,105,69,83,69,120,5,Rainy,0,108.82,Low
2024-01-24,1,P003,Aashirvaad Atta 5kg,Staples,South,250,24,28,22,248,0,Sunny,0,229.26,Low
2024-01-24,1,P004,Maggi 2-Minute Noodles,Snacks,South,294,19,23,14,48,0,Rainy,0,49.81,Low
2024-01-24,1,P005,Tata Salt 1kg,Staples,South,265,46,56,42,22,0,Cloudy,0,23.62,Low
2024-01-24,1,P006,Coca-Cola 600ml,Beverages,South,220,54,71,55,40,5,Cloudy,1,37.01,Low
2024-01-24,1,P007,Parle-G 800g,Snacks,South,129,73,90,77,65,5,Rainy,1,71.11,Low
2024-01-24,1,P008,Surf Excel 1kg,Cleaning,South,206,17,22,16,220,20,Cloudy,0,228.48,Low
2024-01-24,1,P009,Amul Butter 500g,Dairy,South,251,74,91,70,275,0,Cloudy,1,295.05,Low
2024-01-24,1,P010,Red Label Tea 500g,Beverages,South,268,69,76,72,255,15,Stormy,0,260.13,Low
